,titulo,precio,sinopsis,formato,editor,coleccion,idioma,isbn
0,"Física para la ciencia y la tecnología, Vol. 1: Mecánica, oscilaciones y ondas, termodinámica, 6ª Edicion: Amazon.es: Paul Allen Tipler, Gene Mosca: Libros","38,00 €","<div> Física para la Ciencia y la Tecnología, dada su impecable claridad y precisión, se ha constituido en una referencia obligada de los cursos universitarios de física de casi todo el mundo. La sexta edición de la reconocida obra de Tipler/Mosca, ha sido objeto de una revisión exhaustiva y escrupulosa de todos los contenidos del libro, con el objetivo de lograr un manual aún más didáctico y de incorporar en él los nuevos conceptos de la física en que se sustentan los recientes avances de la tecnología. Para facilitar la comprensión de los conceptos físicos descritos, esta sexta edición incorpora una gran variedad de herramientas y de recursos pedagógicos nuevos. Entre ellos cabe destacar la novedosa estrategia en la resolución de problemas; los temas de actualidad en física, que ayudan a los estudiantes a relacionar lo que aprenden con las tecnologías del mundo real; la inclusión a lo largo de todo el libro de nuevos ejemplos conceptuales, y la mejora del apéndice de matemáticas, ahora mucho más completo e integrado con el texto.</div>",Tapa blanda: 702 páginas,Editor: Editorial Reverte; Edición: 6 (1 de enero de 2010),Colección: Física para la ciencia y la tecnología,Idioma: Español,ISBN-13: 978-8429144291
1,"Desayuno con partículas: La ciencia como nunca antes se ha contado BEST SELLER: Amazon.es: Sonia Fernández Vidal, Francesc Miralles: Libros","8,50 €","<div> <p><b>Un excitante y revelador viaje al interior de la mente y a los orígenes de la vida a través de la física cuántica.</b></p> <p><b>Tienes en las manos un ensayo sobre física cuántica.</b></p> <p><b>Un momento, por favor. ¡Espera!</b></p> <p><b>No permitas que esto te asuste y sueltes el libro de golpe.</b></p> <p><b>¿Aceptarías una invitación a desayunar?</b></p> <p>Si decides aventurarte a navegar entre estas páginas, descubrirás un universo tan maravilloso como desconcertante. La teoría cuántica es una de las más bellas y asombrosas de la ciencia. Las reglas que sigue son alocadas en comparación con nuestro día a día. Son antiintuitivas. Al adentrarnos en el mundo cuántico se ponen en jaque nuestras creencias sobre la realidad, y también las de nuestra realidad cotidiana.</p> <p>Sonia Fernández-Vidal, escritora y doctora en Física Cuántica, y Francesc Miralles, escritor y periodista, nos invitan a un divertido desayuno al que también asistirán Newton, Einstein, Heisenberg y otros célebres físicos de la historia. Entre magdalenas, tostadas, café con leche y zumos de naranja, emprenderemos un fascinante y revelador viaje a los orígenes del universo y aprenderemos para qué sirve un acelerador de partículas, qué es la partícula de Dios, cómo las cosas pueden estar en dos sitios a la vez... e incluso trataremos de comprender los misterios de la existencia.</p></div>",Tapa blanda: 288 páginas,Editor: Debolsillo; Edición: Poc (3 de abril de 2014),Colección: BEST SELLER,Idioma: Español,ISBN-13: 978-8490327753
2,"El universo elegante: Supercuerdas, dimensiones ocultas y la búsqueda de una teoría final Booket Ciencia: Amazon.es: Brian Greene, Mercedes García Garmilla: Libros","10,40 €","<div> <p>Brian Greene nos explica en este libro cómo las grandes teorías de la relatividad y de la mecánica cuántica, que transformaron nuestra interpretación de la naturaleza durante el siglo XX, nos han conducido al mayor problema con que se enfrenta la física hoy en día: la búsqueda de una ley que unifique a todas las demás, una ley que Einstein persiguió en vano durante treinta años y a la que se le da el nombre de «teoría de supercuerdas». La teoría de cuerdas –como también se denomina con frecuencia a esa formulación magnífica y sorprendente– vendría a unificar esos dos grandes pilares de la física actual, el cuántico y el gravitacional, al suponer que todo lo que sucede en el universo surge de las vibraciones de una única entidad: microscópicos lazos de energía que se encuentran en el auténtico núcleo de la materia y que habitan en espacios de dimensiones superiores a las cuatro del espacio-tiempo einsteiniano. Con maestría, claridad y un profundo conocimiento, el profesor Greene –él mismo uno de los físicos y matemáticos que están forjando este nuevo imperio científico– nos ofrece en El universo elegante la aportación más brillante que se ha escrito hasta ahora para hacer accesible al gran público este último misterio de la naturaleza que nos explicaría, finalmente, todo. Como ha dicho Michio Kaku «Greene ha hecho un trabajo soberbio al presentarnos cuestiones complejas de una forma no sólo amena, sino intrigante. Recomiendo encarecidamente la lectura de este libro a cualquiera que alguna vez se haya preguntado, como hizo Einstein, si Dios creó el universo jugando a los dados».</p></div>",Tapa blanda: 624 páginas,Editor: Booket (8 de mayo de 2012),Colección: Booket Ciencia,Idioma: Español,ISBN-13: 978-8408007012
3,"Brevísima historia del tiempo (Drakontos): Amazon.es: Stephen Hawking, Leonard Mlodinow, David Jou Mirabent: Libros","14,20 €","<div> <p>En 1988 apareció un libro que iba a cambiar de arriba abajo nuestra concepción del universo y que se convirtió en uno de los mayores bestsellers científicos: <i>Historia del tiempo</i>, de Stephen Hawking, el mayor genio del siglo XX después de Einstein.</p> <p>Pese a su éxito colosal, aquel libro presentaba algunas dificultades de comprensión para el público menos familiarizado con los principios de la física teórica. Ahora, casi veinte años después, el profesor Hawking ha escrito este libro maravilloso y sencillo que pone al alcance del común de los mortales los grandes misterios del mundo y de la vida.</p></div>",Tapa blanda: 224 páginas,Editor: Editorial Crítica (8 de enero de 2015),Colección: Drakontos,Idioma: Español,ISBN-13: 978-8498927948
4,"Breves respuestas a las grandes preguntas Fuera de Colección: Amazon.es: Stephen Hawking, David Jou Mirabent: Libros","Comprar nuevo



17,00 €","<div> <p>Stephen Hawking fue reconocido como una de las mentes más brillantes de nuestro tiempo y una figura de inspiración después de desafiar su diagnóstico de ELA a la edad de veintiún años. Es conocido tanto por sus avances en física teórica como por su capacidad para hacer accesibles para todos conceptos complejos y destacó por su travieso sentido del humor. En el momento de su muerte, Hawking estaba trabajando en un proyecto final: un libro que compilaba sus respuestas a las «grandes» preguntas que a menudo se le planteaban: preguntas que iban más allá del campo académico. Dentro de estas páginas, ofrece su punto de vista personal sobre nuestros mayores desafíos como raza humana, y hacia dónde, como planeta, nos dirigimos después. Cada sección será presentada por un pensador líder que ofrecerá su propia visión de la contribución del profesor Hawking a nuestro entendimiento.</p></div>",Tapa dura: 288 páginas,Editor: Editorial Planeta (30 de octubre de 2018),Colección: Fuera de Colección,Idioma: Español,ISBN-13: 978-8491990437
5,"Hiperespacio (Booket Ciencia): Amazon.es: Michio Kaku, Javier García Sanz: Libros","10,40 €","<div> <p>¿Hay otras dimensiones más allá de las de nuestra experiencia cotidiana? ¿Hay puertas de acceso a universos paralelos? ¿Qué sucedió antes del primer día de la Creación? Este tipo de cuestiones están en el centro de la actividad científica actual. En efecto, muchos físicos creen hoy que existen otras dimensiones más allá de las cuatro de nuestro espacio-tiempo, y que puede alcanzarse una visión unificada de las diversas fuerzas de la naturaleza, si consideramos que todo lo que vemos a nuestro alrededor, desde los árboles hasta las estrellas, no son sino vibraciones en el hiperespacio. La teoría del hiperespacio –y su derivación más reciente, la teoría de supercuerdas– es el ojo de esta revolución. En este libro, Michio Kaku nos muestra un panorama fascinante, que cambia por completo nuestra visión del cosmos, y nos lleva a un deslumbrante viaje por nuevas dimensiones: agujeros de gusano que conectan universos paralelos, máquinas del tiempo, «universos bebé» y otras maravillas semejantes van surgiendo en unas páginas en las que todo se explica con una elegante sencillez y donde la formulación matemática es reemplazada por imaginativas ilustraciones que permiten visualizar los problemas. El resultado es un libro muy ameno y sorprendente, que incluso deja atrás las mayores fantasías de los viejos autores de ciencia ficción.</p></div>",Tapa blanda: 528 páginas,Editor: Booket (8 de mayo de 2012),Colección: Booket Ciencia,Idioma: Español,ISBN-13: 978-8408007029
6,"Agujeros negros y tiempo curvo: El escandaloso legado de Einstein. Presentación de Stephen Hawking Drakontos: Amazon.es: Kip S. Thorne, Javier García Sanz: Libros","21,75 €","<div> <p>“Durante treinta años –nos dice Kip S. Thorne, profesor del California Institute of Tecnology- he participado en una gran búsqueda para comprender el legado dejado por Albert Einstein a las generaciones futuras. Esta búsqueda me ha llevado por laberintos de objetos exóticos: agujeros negros, enanas blancas, estrellas de neutrotes, singularidades, ondas gravitatorias, distorsiones del tiempo, agujeros de gusano y máquinas del tiempo.” Muchos investigadores, comenzando por el propio Einstein, se negaban a aceptar algunas de las fantásticas consecuencias que podían deducirse de la teoría de la relatividad. Han sido científicos de una nueva generación, y en especial Roger Penrose y Kip S. Thorne, quienes han llevado esta búsqueda a sus últimas consecuencias. Si los libros de los dos primeros –<i>Historia del tiempo</i> y <i>La nueva mente del emperador</i>- descubrieron al lector medio la nueva imagen del universo, Agujeros negros y tiempo curvo le conducirá adentro y más allá.</p> <p>Thorne comienza llevándonos a un viaje a los agujeros negros y, desde allí, nos hace seguir el descubrimiento de las nuevas concepciones, desde Einstein hasta nuestros días, en una especie de relato histórico sazonado de anécdotas vividas, a lo largo del cual vamos aprendiendo los conceptos básicos hasta llegar al punto en que agujeros de gusano y máquinas del tiempo nos parecen posibilidades lógicas y comprensibles. Si Stephen Hawking ha calificado este libro como “un relato fascinante”, otro de los protagonistas de esta historia, el gran astrofísico ruso Igor Novikov ha dicho: “es uno de los mejores libros de divulgación científica que he leído: todos cuantos aman los misterios científicos disfrutarán con él”.</p> <p> </p></div>",Tapa blanda: 576 páginas,Editor: Editorial Crítica (11 de noviembre de 2010),Colección: Drakontos,Idioma: Español,ISBN-13: 978-8498921557
7,"Quantum Mechanics. The Theoretical Minimum Theoretical Minimum 2: Amazon.es: Leonard Susskind, Art Friedman: Libros en idiomas extranjeros","12,97 €","<div> <p>In <i>The Theoretical Minimum</i>, world-class physicist Leonard Susskind provided a brilliant first course in classical mechanics, offering readers not an oversimplified introduction but the real thing - everything you need to start doing physics, and nothing more. Now he returns with the next challenge that every aspiring physics buff must tackle: quantum mechanics. </p><p>Unlike most popular physics books, Susskind and his co-author Art Friedman teach the maths and equations that are essential to any real understanding of quantum mechanics. Combining crystal-clear explanations, witty and helpful dialogues, and basic exercises, <i>Quantum Mechanics</i> is, to paraphrase Einstein, as simple as possible, but no simpler.</p></div>",Tapa blanda: 288 páginas,Editor: Penguin Books; Edición: 01 (25 de febrero de 2015),Colección: Theoretical Minimum 2,Idioma: Inglés,ISBN-13: 978-0141977812
8,Special Relativity And Classical Field Theory Theoretical Minimum 3: Amazon.es: Friedman And Susskind: Libros en idiomas extranjeros,"14,20 €


+ Envío GRATIS","<div> <p><b>The third volume in Leonard Susskind's one-of-a-kind physics series cracks open Einstein's special relativity and field theory</b></p><p>In the first two books in his wildly popular <i>The Theoretical Minimum</i> series, world-class physicist Leonard Susskind provided a brilliant first course in classical and quantum mechanics, offering readers not an oversimplified introduction, but the real thing - everything you need to start doing physics, and nothing more. Now, thankfully, Susskind and his former student Art Friedman are back, this time to introduce readers to special relativity and classical field theory. At last, waves, forces and particles will be demystified. </p><p>Using their typical brand of relatively simple maths, enlightening sketches and the same fictional counterparts, Art and Lenny, <i>Special Relativity and Classical Field Theory </i>takes us on an enlightening journey through a world now governed by the laws of special relativity. Starting in their new watering hole, Hermann's Hideaway, with a lesson on relativity, Art and Lenny walk us through the complexities of Einstein's famous theory. </p><p>Combining rigor with humour, Susskind and Friedman guarantee that <i>Special Relativity and Classical Field Theory </i>will become part of the reader's physics toolbox.</p></div>",Tapa blanda: 272 páginas,Editor: Penguin Books Ltd (6 de septiembre de 2018),Colección: Theoretical Minimum 3,Idioma: Inglés,ISBN-13: 978-0141985015
9,"FISICA Y QUIMICA 1 BACHILLERATO - 9788448191542: Amazon.es: Rodriguez, McGraw - Hill: Libros","36,05 €",,Tapa blanda: 336 páginas,Editor: McGraw-Hill Interamericana de España S.L.; Edición: 1 (31 de marzo de 2015),Idioma: Español,ISBN-10: 8448191544,"Valoración media de los clientes:




4.6 de un máximo de 5 estrellas






      6 opiniones de clientes"
10,"El futuro de la humanidad: La colonización de Marte, los viajes interestelares, la inmortalidad y nuestro destino más allá de la Tierra Ciencia y Tecnología: Amazon.es: Michio Kaku, Juan Manuel Ibeas Delgado;: Libros","20,80 €","<div> <p><b>El último libro de Michio Kaku.</b></p> <p></p> <p><b>Un relato sobre galaxias, tecnología y el futuro de la humanidad.</b></p> <p align=""JUSTIFY"">Nuestra existencia está amenazada: las glaciaciones, los impactos de asteroides, la capacidad finita de la Tierra e incluso la lejana pero inevitable muerte del Sol son riesgos de tal magnitud que, si no abandonamos la Tierra, deberemos asumir la idea de nuestra extinción. Por eso, para Michio Kaku nuestro destino yace en las estrellas, no por la curiosidad o la pasión aventurera que los humanos llevamos dentro, sino por una simple cuestión de supervivencia.</p> <p align=""JUSTIFY""></p> <p align=""JUSTIFY"">En <i>El futuro de la humanidad</i>, el Dr. Michio Kaku explora los pasos necesarios para lograr este ambicioso objetivo, y describe las tecnologías que nos permitirán colonizar y terraformar otros planetas, así como explorar las infinitas estrellas del universo. A lo largo de estas páginas aprenderemos sobre robots autorreplicantes, nanomateriales y cultivos de bioingeniería que nos permitirán abandonar nuestro planeta; sobre naves nanométricas, velas láser, máquinas de fusión ram-jet, motores antimateria y cohetes hiperimpulsores que nos llevarán a las estrellas, y las tecnologías radicales que alterarán nuestro cuerpo para poder sobrevivir al largo y agotador viaje hacia la conquista del espacio.</p> <p align=""JUSTIFY""></p> <p align=""JUSTIFY"">En este fascinante viaje, el autor superventas de <i>El futuro de nuestra mente</i> atraviesa las fronteras de la astrofísica, la inteligencia artificial y la tecnología para ofrecer una maravillosa visión del futuro de la humanidad.</p> <p><b>La crítica ha dicho...</b><br/>«El interés mundial en el lanzamiento que llevó a cabo Elon Musk de un de sus vehículos Tesla al espacio, nos muestra como los viajes espaciales han vuelto a convertirse en un entretenimiento de masas y puede que a una aspiración para las masas. Es un buen momento para un libro del físico teórico Michio Kako sobre los posibles caminos de nuestro futuro como viajeros espaciales. [...] Con una facilidad y claridad admirables, el Dr. Kaku repasa la historia de la cohetería, la formación de los planetas y explica cómo podríamos colonizar no solo Marte sino que también algunas de las lunas de Júpiter y Saturno. [...] Este libro tiene un entusiasmo infeccioso y candente.»<br/>Steven Poole, <i>The Wall Street Journal</i></p></div>",Tapa blanda: 416 páginas,Editor: DEBATE; Edición: 001 (22 de noviembre de 2018),Colección: Ciencia y Tecnología,Idioma: Español,ISBN-13: 978-8499928364
11,"¿Está usted de broma Sr. Feynman?: Aventuras de un curioso personaje tal como fueron referidas a Ralph Leighton El Libro De Bolsillo - Ciencias: Amazon.es: Richard P. Feynman, Luis Bou: Libros","13,77 €","<div> Richard Feynman no ha sido sólo uno de los físicos teóricos más destacados del mundo sino también una personalidad insólita y genial cuyas investigaciones le valieron el Premio Nobel de Física de 1965. En su biografía y en su obra se dan cita la curiosidad irrefrenable, el escepticismo empedernido, el sentido del humor, el gusto por la travesura, la más vasta cultura y el más penetrante ingenio. Feynman es seguramente la única persona en el mundo que ha explicado física a cerebros como Einstein, Von Neumann y Pauli y que ha tocado los bongos en una compañía de ballet, que ha sido declarado deficiente mental por el ejército de Estados Unidos y que ha obtenido un Premio Nobel. "" ¿Está usted de broma, Sr. Feynman? "" recoge las conversaciones mantenidas a lo largo de una serie de años con Ralph Leighton, quien se encargó de grabarlas y transcribirlas.</div>",Tapa blanda: 528 páginas,Editor: Grupo Anaya Publicaciones Generales; Edición: edición (18 de febrero de 2016),Colección: El Libro De Bolsillo - Ciencias,Idioma: Español,ISBN-13: 978-8491042792
12,"La realidad cuántica (Drakontos): Amazon.es: Andrés Cassinello Espinosa, José Luis Sánchez Gómez: Libros","17,00 €","<div> <p>Desde hace más de tres cuartos de siglo, sabemos que la naturaleza está regida por las leyes que determinan una teoría física en muchos aspectos paradójica y contraintuitiva: la física cuántica. Sin apenas matemáticas, situando aquello que se trata en un contexto histórico, y utilizando unas atractivas ilustraciones que destacan las principales ideas que aparecen en él, este libro, <i>La realidad cuántica</i>, presenta los fundamentos de la mecánica cuántica. Su objetivo primero es explicar los desconcertantes conceptos de superposición, colapso y entrelazamiento, que sostienen el edificio cuántico. Mediante experimentos, los autores, dos destacados investigadores en esa rama de la física, desvelan esos conceptos de un modo intuitivo y explican, asimismo, resultados fundamentales como los producidos por John Bell, que precipitaron la caída del mundo determinista defendido por Einstein. Una vez establecida esa base teórico-experimental, y siguiendo el mismo procedimiento intuitivo, los autores presentan las modernas aplicaciones de esos conceptos cuánticos: teleportación, criptografía y ordenadores cuánticos. Todas ellas se enmarcan en la Teoría dela Información Cuántica, una disciplina tras la que se esconden importantes interrogantes que también se tratan aquí, tales como si la información es suficiente para interpretar correctamente la mecánica cuántica, o si el mundo se explicaría, en último término, como información.</p></div>",Tapa blanda: 216 páginas,Editor: Editorial Crítica (17 de septiembre de 2013),Colección: Drakontos,Idioma: Español,ISBN-13: 978-8498925982
13,Classical Mechanics: The Theoretical Minimum Theoretical Minimum 1 Idioma Inglés: Amazon.es: George Hrabovsky: Libros en idiomas extranjeros,"10,01 €","<div> This is the ultimate master class in modern physics. World-class physicist and father of string theory Leonard Susskind and citizen-scientist George Hrabovsky combine forces in a primer that teaches the skills you need to do physics yourself. Combining crystal-clear explanations of the laws of the universe with basic exercises (including essential equations and maths), the authors cover the minimum that readers should master. They introduce the key concepts of modern physics, from classical mechanics to general relativity to quantum theory, and provide a practical toolkit that you won't find in any other popular science book.. NOTA: El libro no está en español, sino en inglés.</div>",Tapa blanda: 256 páginas,Editor: Penguin; Edición: 01 (25 de febrero de 2014),Colección: Theoretical Minimum 1,Idioma: Inglés,ISBN-13: 978-0141976228
14,"This Explains Everything: Deep, Beautiful, and Elegant Theories of How the World Works Edge Question Series: Amazon.es: John Brockman: Libros en idiomas extranjeros","Comprar nuevo



15,82 €","<div> In This Explains Everything, John Brockman, founder and publisher of Edge.org, asked experts in numerous fields and disciplines to come up with their favorite explanations for everyday occurrences. Why do we recognize patterns? Is there such a thing as positive stress? Are we genetically programmed to be in conflict with each other? Those are just some of the 150 questions that the world's best scientific minds answer with elegant simplicity. With contributions from Jared Diamond, Richard Dawkins, Nassim Taleb, Brian Eno, Steven Pinker, and more, everything is explained in fun, uncomplicated terms that make the most complex concepts easy to comprehend.</div>",Tapa blanda: 432 páginas,Editor: Harper Collins Publ. USA (5 de mayo de 2016),Colección: Edge Question Series,Idioma: Inglés,ISBN-13: 978-0062230171
15,A Short History of Nearly Everything (Bryson): Amazon.es: Bill Bryson: Libros en idiomas extranjeros,"13,74 €","<div> Bill Bryson describes himself as a reluctant traveller: but even when he stays safely in his own study at home, he can't contain his curiosity about the world around him. A Short History of Nearly Everything is his quest to find out everything that has happened from the Big Bang to the rise of civilization - how we got from there, being nothing at all, to here, being us. <br/><br/>Bill Bryson's challenge is to take subjects that normally bore the pants off most of us, like geology, chemistry and particle physics, and see if there isn't some way to render them comprehensible to people who have never thought they could be interested in science. It's not so much about what we know, as about how we know what we know. How do we know what is in the centre of the Earth, or what a black hole is, or where the continents were 600 million years ago? How did anyone ever figure these things out?<br/><br/>On his travels through time and space, he encounters a splendid collection of astonishingly eccentric, competitive, obsessive and foolish scientists, like the painfully shy Henry Cavendish who worked out many conundrums like how much the Earth weighed, but never bothered to tell anybody about many of his findings. In the company of such extraordinary people, Bill Bryson takes us with him on the ultimate eye-opening journey, and reveals the world in a way most of us have never seen it before.</div>",Tapa blanda: 672 páginas,Editor: Black Swan; Edición: 01 (1 de junio de 2004),Colección: Bryson,Idioma: Inglés,ISBN-13: 978-0552151740
16,"El universo cuántico: Y por qué todo lo que puede suceder, sucede Ciencia y Tecnología: Amazon.es: Brian Cox, Marcos Pérez Sánchez;: Libros","18,90 €","<div> <p><b>Un recorrido por la actual teoría científica de la materia que permite explicar las sorprendentes propiedades de las partículas subatómicas o por qué si los átomos están prácticamente vacíos no atravesamos el suelo que está bajo nuestros pies.</b></p> <p>¿Qué es la física cuántica? ¿Cómo nos ayuda a entender el mundo? ¿Dónde deja a Newton y a Einstein? Y, sobre todo, ¿por qué podemos estar seguros de que es una buena teoría?</p> <p>Brian Cox y Jeff Forshaw ofrecen un modelo concreto de la naturaleza que es comparable en esencia a las leyes del movimiento de Newton, la teoría electromagnética de Maxwell y la teoría de la relatividad de Einstein. A través de analogías con la vida cotidiana, que demuestran que los extraños fenómenos cuánticos tienen una explicación, logran transformar principios científicos fundamentales en algo fascinante y accesible a todo el mundo.</p> <p><b>Reseñas:</b><br/>«Un libro que rompe todas las reglas de la ciencia divulgativa.»<br/><i>The Economist </i></p> <p>«Brian Cox y Jeff Forshaw comparten la cualidad poco común de hacer accesible un tema complicado [...]. El libro es una obra de arte del pensamiento científico moderno que bien merece la atención del lector.»<br/><i>San Francisco Book Review </i></p> <p>«Si estás interesado en el mundo real y quieres leer una extraordinaria introducción al mayor logro de la humanidad en los últimos cien años, coge este libro, léelo despacio, digiérelo, intégralo en tu vida, y tu vida cambiará para mejor.»<br/><i>The Huffington Post</i></p></div>",Tapa blanda: 288 páginas,Editor: DEBATE; Edición: 002 (3 de julio de 2019),Colección: Ciencia y Tecnología,Idioma: Español,ISBN-13: 978-8499923697
17,"Por amor a la física: Del final del arco iris a la frontera del tiempo. Un viaje a través de las maravillas de la física ENSAYO-CIENCIA: Amazon.es: Walter Lewin, Warren Goldstein, Marcos Pérez Sánchez;: Libros","9,45 €","<div> <p><b>Las esperadas memorias de uno de los intelectuales más impredecibles, combativos e influyentes de los últimos treinta años.</b></p> <p>«Has cambiado mi vida» es una frase muy común en los emails que Walter Lewin recibe a diario de fans cautivados por sus «videoclases» sobre las maravillas de la física. Durante cuarenta y tres años como profesor en el Instituto Tecnológico de Massachusetts (MIT), Lewin ha perfeccionado su peculiar arte de enseñar y de hacer de la física algo accesible y divertido. En sus cursos, siempre prácticos, ha llegado a colocar su cabeza delante de una bola de demolición o a aplicarse una sobrecarga de 300.000 voltios para explicar conceptos básicos a sus alumnos.</p> <p>En <i>Por amor a la física</i> Lewin responde a preguntas curiosas: ¿es posible que seamos más bajos estando de pie que estando tumbados?, ¿por qué los colores del arco iris siempre están ordenados del mismo modo?, ¿sería posible tocar alguno con la mano?... y nos acompaña en un viaje maravilloso abriendo nuestros ojos a la belleza y al poder extraordinarios con los que la física puede revelar los mecanismos ocultos del mundo que nos rodea.</p> <p><b>Reseñas:</b><br/>«<i>Por amor a la física</i> recoge el asombroso intelecto de Walter Lewin, su pasión por la física y su genio como profesor. Ojalá que este libro atraiga a más gente hasta la órbita de este educador y científico extraordinario.»<br/>Bill Gates</p> <p>«Magistral y absorbente.»<br/><i>Leer</i></p> <p>«La pasión imperturbable por la física de Walter Lewin brilla en cada página de este extraordinario recorrido por el mundo de la ciencia. El entusiasmo por el descubrimiento es contagioso.»<br/>Mario Livio, autor de <i>La proporción áurea</i> y <i>¿Es Dios un matemático? </i></p> <p>«Fascinante... Las deliciosas memorias de un científico combinadas con una introducción a la física memorable.»<br/><i>Kirkus </i></p> <p>«Como pueden atestiguar cientos y miles de estudiantes que han asistido a los cursos de Lewin, este genio de las clases transforma las fórmulas del libro de texto en magia... La extraordinaria creatividad de Lewin es como un pasaporte para la aventura.»<br/><i>Booklist</i></p> <p>«En este libro divertido y excitante, Walter Lewin, un superhéroe del aula, utiliza sus poderes para hacer el bien. El autor comparte la alegría de saber que el mundo es un lugar inteligible.»<br/>James Kakalios, profesor y autor de <i>La física de los superhéroes</i></p></div>",Tapa blanda: 320 páginas,Editor: DEBOLSILLO; Edición: 001 (18 de julio de 2016),Colección: ENSAYO-CIENCIA,Idioma: Español,ISBN-13: 978-8490320594
18,Las 4 fuerzas que rigen el universo (Contextos): Amazon.es: Jordi Pereyra: Libros,"17,05 €","<div> <p>Hoy sabemos que cualquier incógnita que se nos ocurra, desde por qué los planetas tienen la forma que tienen o cómo los distintos elementos interaccionan entre sí, tiene su respuesta en una ―o alguna― combinación de cuatro fuerzas fundamentales. En este libro echaremos un vistazo al descubrimiento de estas fuerzas para acercarnos a los avances que se están realizando y plantear la posibilidad de si algún día se podrán unificar en una gran Teoría del Todo.</p></div>",Tapa blanda: 256 páginas,Editor: Ediciones Paidós (21 de marzo de 2017),Colección: Contextos,Idioma: Español,ISBN-13: 978-8449333163
19,"An Introduction to Statistical Learning: with Applications in R Springer Texts in Statistics: Amazon.es: Gareth James, Daniela Witten, Trevor Hastie, Robert Tibshirani: Libros en idiomas extranjeros","22,88 €


+ Envío GRATIS","<div> <p><b>An Introduction to Statistical Learning</b> provides an accessible overview of the field of statistical learning, an essential toolset for making sense of the vast and complex data sets that have emerged in fields ranging from biology to finance to marketing to astrophysics in the past twenty years. This book presents some of the most important modeling and prediction techniques, along with relevant applications. Topics include linear regression, classification, resampling methods, shrinkage approaches, tree-based methods, support vector machines, clustering, and more. Color graphics and real-world examples are used to illustrate the methods presented. Since the goal of this textbook is to facilitate the use of these statistical learning techniques by practitioners in science, industry, and other fields, each chapter contains a tutorial on implementing the analyses and methods presented in R, an extremely popular open source statistical software platform.</p><p>Two of the authors co-wrote The Elements of Statistical Learning (Hastie, Tibshirani and Friedman, 2nd edition 2009), a popular reference book for statistics and machine learning researchers. <b>An Introduction to Statistical Learning</b> covers many of the same topics, but at a level accessible to a much broader audience. This book is targeted at statisticians and non-statisticians alike who wish to use cutting-edge statistical learning techniques to analyze their data. The text assumes only a previous course in linear regression and no knowledge of matrix algebra.</p></div>",Tapa dura: 426 páginas,"Editor: Springer; Edición: 1st ed. 2013, Corr. 7th printing 2017 (29 de septiembre de 2017)",Colección: Springer Texts in Statistics,Idioma: Inglés,ISBN-13: 978-1461471370
20,What If?: Serious Scientific Answers to Absurd Hypothetical Questions John Murray: Amazon.es: Randall Munroe: Libros en idiomas extranjeros,"Comprar nuevo



10,26 €","<div> THE SUNDAY TIMES BESTSELLER From the creator of the wildly popular xkcd.com, hilarious and informative answers to important questions you probably never thought to ask. Millions visit xkcd.com each week to read Randall Munroe's iconic webcomic. Fans ask him a lot of strange questions: How fast can you hit a speed bump, driving, and live? When (if ever) did the sun go down on the British Empire? When will Facebook contain more profiles of dead people than living? How many humans would a T Rex rampaging through New York need to eat a day? In pursuit of answers, Munroe runs computer simulations, pores over stacks of declassified military research memos, solves differential equations and consults nuclear reactor operators. His responses are masterpieces of clarity and hilarity, complemented by comics. They often predict the complete annihilation of humankind, or at least a really big explosion.</div>",Tapa blanda: 320 páginas,Editor: Hodder And Stoughton; Edición: 01 (24 de septiembre de 2015),Colección: John Murray,Idioma: Inglés,"Valoración media de los clientes:




4.2 de un máximo de 5 estrellas






      32 opiniones de clientes"
